id,qualifications_qualificationsummary
cv41570.xml,informática  * filosofia para crianças - colégio inei - 30 horas. o comportamento juvenil / práticas psicopedagógicas / filosofia para crianças / dinâmicas de grupo; * filosofia à maneira clássica - nova  acrópole - 60 horas. ética / sócio-política / filosofia da história / psicologia / iso - introdução a sabedoria do oriente; * técnicas de estudo - nova  acrópole - 48 horas. técnicas de memorização / mapas mentais / planos e horários / preparação para exames / leitura e reflexão; * minicurso: a importância das práticas de extensão universitária - unb 2008 - 8 horas. viii semana de extensão;  inglês: compreensão  leitura e escrita - nível intermediário cultura inglesa / yázigi / wizard   digitação / word / excel / internet  atividades desenvolvidas (durante a graduação em pedagogia - unb)
cv52404.xml,qualificação  • curso técnico em informática - 2013 local: cepa- (macapá-ap) • i simpósio de psicanálise do amapá: psicanálise  sexualidade e cultura - 2014 local: faculdade estácio seama • encontro nordestino da abordagem centrada na pessoa - 2014 local: pernambuco • apresentação na i mostra de desenvolvimento humano e envelhecimento - fama local: escola técnica graziela reis • apresentação de artigo cientifico na semana de psicologia - 2015 local: faculdade de macapá (fama) • participação do xi fórum brasileiro da abordagem centrada na pessoa - 2015 local: brasília - df •   minicurso ministrado em turmas da graduação por indicação do  coordenador do curso de psicologia - 2015 local: faculdade de macapá (fama) • participação no xii fórum brasileiro da abordagem centrada na pessoa - 2017 local: maringá/iguaraçu - paraná • participação no xii fórum brasileiro da abordagem centrada na pessoa - 2017 local: maringá/iguaraçu - paraná • artigo científico apresentado no xii fórum brasileiro da abordagem centrada na pessoa • curso introdução ao coaching - carga horária: 80h - 2017 - abeline • curso distúrbios de aprendizagem - carga horária: 60h - 2017 - abeline
cv44204.xml,conhecimentos • erwin • uml • técnicas de pmo / pmbok • tfs (team foundation server) • wcf • mvp • clear case • mvc • ms project • inglês intermediário • access • vba  • visual basic • asp • javascript • vbscript • html • com+ • iis • sql server • oracle • crystal reports • c# • vb.net • asp.net
cv47675.xml,principais habilidades e competências  •  intimidade com grande número de projetos de software livre •  profundo conhecimento da plataforma de desenvolvimento gnu •  vivência com distribuições linux debian/ubuntu/mint  redhat/centos e slackware •  experiência na criação de sistemas embarcados e diskless usando buildroot e lfs •  proficiência na operação de sistemas linux e bsd via interface textual •  experiência com hardware bay trail e cherry trail utilizando linux •  experiência com os toolkits gráficos gtk  gtkmm e qt •  experiência com programação concorrente (threads) e distribuída (soap/rpc) •  experiência com desenvolvimento de código multiplataforma •  familiaridade com diagramas e/r e uml •  domínio de web services em linguagem c utilizando a biblioteca gsoap •  familiaridade com virtualização usando kvm/qemu •  experiência na implementação de infraestrutura em nuvem com ovirt •  experiência com todos os serviços de rede comuns (http  snmp  dhcp  dns  etc) •  familiaridade com autenticação utilizando ldap  kerberos e active directory •  experiencia em projeto  gestão e automação de infraestruturas corporativa •  experiencia com projeto de centrais de atendimento e telefonia voip •  noções de auditoria de segurança utilizando metasploit •  habilidade e interesse para pesquisa e aprendizado autodidata •  boa capacidade de organização e comunicação •  inglês instrumental avançado (leitura fluente / conversação regular)
cv42688.xml,conhecimentos linguagens de programação: visual basic 6.0 avançado  delphi avançado  cold fusion  c/ c++ intermediário  java com jsp e servlets  html  javascript  jquery  xml  php com mysql  ajax com tableless / webstandards  plataforma dot net(vb.net asp.net e c#) e cobol microfocus. conheço uml.  front-end: angular js / 2 / 4 / 5  react.js  ajax  javascript  jquery / angular 4/typescript/css/bootsstrap/json/git  frameworks php: zend framework  laravel  slim  simphony  codeigniter  cake php  moodle  magento  wordpress  drupal  banco de dados: mysql 5.0  sybase 7.0  microsoft access 2000   postgresql 5.1  oracle 9i pl/sql  sql server 7.0/2000/2005/2008.  análise de sistemas / engenharia de software / modelagem de dados: conhecimentos intermediários da ferramenta case erwin 4.0 e enterprise architect 10 ; conhecimentos em metodologias ágeis scrum e xp/modelagem orientada à objetos uml /tecnologia rup / cmmi.  sistemas operacionais: msdos 6.22  windows xp/ server 2003  windows vista  windows 7.0  unix 5.0  novell  linux  conectiva e red hat.  governança de ti  / processos / projetos: bons conhecimentos em governança de ti (itil e cobit e iso 27000). bons conhecimentos em gestão de processos (bpm). microsoft project 2010  bpa e bpm(oracle) e ea - enterprise architect. mapeamento de processos e documentação estruturada. notação bpmn gestão de projetos framework - etom e tam ferramentas six sigma práticas itil  cobit e iso ferramentas de mapeamento de processos - bpms implantação de ferramenta bpm bizagi
cv48669.xml,"qualificações e atividades complementares   •  inglês - leitura intermediária  escrita básica (faculdade flamingo - inglês técnico/ instrumental). •  curso técnico - médio (2º grau) (técnico em programação  cps - ""centro paula souza"" (dezembro/2009) - concluído). •  curso de cobol cics ibm - ferramenta rdz  (unifieo-centro univers. fund. instituto de ensino para osasco (novembro/2011) - concluído). •  curso de montagem e manutenção de microcomputador (senai - serviço nacional de aprendizagem industrial (dezembro/2010) - concluído)."
cv53136.xml,qualificações   •  inglês intermediário •  espanhol básico •  conhecimento do pacote office
cv44295.xml,conhecimentos técnicos j2ee java servlets java server pages (jsp) enterprise javabeans (ejb) java persistence api (jpa) java message service (jms) java naming and directory interface (jndi) java database connectvity (jdbc) jca design patterns jsf  servidores de aplicações weblogic (oracle) websphere (ibm) wso2 a. s. (carbon plataform) jboss a. s. / wildfly  metodologias de desenvolvimento rup extreme programming (xp) scrum  integração continua maven jenkins nexus  modelagem uml e bpmn  frameworks richfaces icefaces jwl (the jsf widged library) jquery angularjs primefaces  sistemas operacionais linux windows  banco de dados mysql postgreesql oracle h2  histórico profssional  empresa: cds/ntc (núcleo de tecnologia em conhecimento em informática ltda) cargo: analista middleware sênior/arquiteto middleware período de atividade: 13/12/2011 até o momento atividades desenvolvidas: analise  criação  e validação da documentação técnica e de negócio; criação de propostas para projetos de integrações de sistemas e arquiteturas.  desenvolvimento de soluções de middleware com oracle e wso2; desenvolvimento de soluções técnicas utilizando a plataforma wso2. desenvolvimento de software com j2ee. desenvolvimento de poc's e prospecção de projetos. apresentação dos produtos wso2 para os clientes e treinamentos para equipe técnica.  empresa: arpia tecnologia da informação cargo: analista desenvolvedor período de atividade: 28/10/2010 à 30/11/2011 atividades desenvolvidas: desenvolvimento de portlets com websphere 6.1 e sistemas java utilizando tecnologia j2ee  jsf com icefaces e/ou jsf com jwl  hibernate  oracle.  empresa: linkdata tecnologia em gestão pública cargo: analista desenvolvedor período de atividade: 04/01/2010 à 27/08/2010 atividades desenvolvidas: desenvolvimento e manutenção de sistemas utilizando tecnologia j2ee  castor  hibernate  jasperreport (ireport 3.0)  oracle 10g  sql server  postgre sql  tom cat  svn.  empresa: unimix tecnologia cargo: programador java período de atividade: 01/11/2008 - 31/12/2009 atividades desenvolvidas: desenvolvimento de sistemas utilizando tecnologia j2ee  zk framework (zkoss)  hibernate  jasperreport (ireport 3.0)  oracle 10g  oracle ucrm  oc4j  ecm (api oracle)  svn  cvs.  empresa: fóton informática cargo: programador java período de atividade: 02/01/2008 - 27/10/2008 atividades desenvolvidas: desenvolvimento de sistemas utilizando tecnologia j2ee  java server faces  richifaces  hibernate  jasperreport (ireport 2.02)  maven  jboss  tomcat  cvs.  empresa: universidade de brasília - unb cargo: analista/programador período de atividade: 01/07/2007 à 31/12/2007 atividades desenvolvidas: analise e documentação de sistemas web  nos padrões da instituição utilizando metodologias de engenharia de software; desenvolvimento de sistemas web java e php; manutenção de sistemas e sites; utilização das frameworks struts(java) e zendframework (php);  utilização das frameworks javascript/ajax dojotolkit e extjs.  empresa: ministério do meio ambiente (empresa capital) cargo: suporte técnico. período de atividade: 01/01/2006 - 31/06/2007 atividades desenvolvidas: suporte e manutenção de microcomputadores; desenvolvimento de sistemas web(smarty  propel  fusebox  php 5  javascript (dojo)  padrão mvc  paradigma oo)  framework iflux; analise de sistemas utilizando a uml. manutenção do site do bcdam/sca/mma www.bcdam.gov.br ; administrador de sistemas de informação.
cv42895.xml,•   informática (microsoft word  excel  outlook  internet explorer). •   inglês - avançado. •  curso de inglês - harvard extension school - conclusão: julho/2011. •  intercâmbio cultural - estados unido - janeiro/2011 à julho/2011. •  intercâmbio profissional - estados unidos - setembro/2017 à outubro/2017. •   aplicação e correção de avaliação psicológica (palográfico  quati  zulliger  g36  r1  d2  ac  tadim  tacom  bpr-5) 
cv48772.xml,qualificações  ●  especializado em t.i. - foco em sistemas web. ●  experiência em diversos projetos atuando como arquiteto de soluções  analista de sistemas  desenvolvedor e líder de equipe. ●  desenho e modelagem de soluções e padronizações. ●  levantamentos (análises  especificação de requisitos (funcionais e não funcionais)  especificações técnicas  escopo  mensuração e prazos). ●  uml (requisitos  fluxos de atividade  casos de uso  diagramas de classe  sequência). ●  mapeamentos objeto-relacional. ●  modelagem em bancos de dados relacionais / mer (ddl e dml) e não-relacionais (nosql). ●  modelagem orientada a objetos. ●  planos de teste  casos de teste. ●  metodologias alm  rup  xp e kanban  agile com scrum na prática diária (continuous integration  tfs). ●  desenvolvimento / implementação / implantação/ correção. ●  integração de novas tecnologias com sistemas legados (integração de plataformas .net e sap  rfc). ●  liderança de equipe (gerenciamento de demandas  distribuições de tarefas e prazos).   conhecimentos específicos  ●  ms visual studio.net (2003  2008  2010  2012  2013  2017) ●  .net framework 1.1  2.0  3.5  4.0  4.5  5.x  6.x  core (c# e vb.net) ●  asp.net  web forms  mvc  webservices  rest  webapi ●  windows forms  windows services  windows application  wcf  wpf ●  ado.net  linq  entity framework ●  arquitetura em n camadas  soa  design patterns ●  enterprise library - ms app blocks ●  orientação a objetos (oo) / componentização ●  html  html5  javascript  css  jquery  angularjs  node.js  bootstrap  ajax  json  xml ●  sql server (6.0/2000/2005/2008/2012)  oracle (pl/sql)  postgresql  mysql  mongodb ●  ms sql server management studio  toad  pl/sql developer  pgadmin  integration services  etl. ●  crystal reports  ms reporting services  ms integration services ●  ferramentas rose  ms visio  erwin  enterprise architect (ea)  sybase powerdesigner ●  controle de versão: source safe  clear case  team foundation server (tfs)  svn  github ●  antigas experiências (vb6  asp3  vbscript  ms access  c++)   noções  ●  técnicas de análise por pontos de função. ●  aws (amazon web services) ●  java - j2ee ●  ms-project  gerência de projetos (pmbok) ●  android ●  linux ●  ms xna (games) ●  nhibernate ●  ninject ●  python ●  estudando atualmente para certificação da microsoft mcsa: aplicativos web.
